id,eqn,stdev,etoh_pdc,ppoh,btoh,ibutoh,ptoh,btd,pyr,lac__D,ac,adpac,etylace,ppylace,ibutylace,etylbte,ppylbte,btylbte,ibutylbte,etylpte,ibutylpte,ptylpte
EX_succ_e,succ_e  -> ,0.272358714556034,0.012278595618778,2.78101004173946e-11,0.0122785979125195,0.00787839222299605,8.21318636902087e-30,2.30778794556847e-11,0.986702978986158,0.0116484519173248,0.0122028460592282,1.11411604179915e-12,0.00747530827794987,2.13031822296286e-12,0.779002960505315,0.00948591660660958,4.4807551508322e-30,0.0102197232280627,0.00527256686605538,1.38567118860452e-12,9.21971632896925e-11,2.58997155644949e-11
ACLS,h_c + 2 pyr_c  -> alac__S_c + co2_c ,0.249381322070869,0.0102954363500225,0.0102456911826216,0.0102954383378514,0.943199151700696,0.00358464429687729,0.00358464429701886,0.00459417728141813,0.00976706949617689,0.010231921514806,0.00388687686790578,0.00626794494654161,0.00626746738364955,0.360088178524572,0.00795381286909204,0.00356928432359524,0.00856909978124037,0.483203670289392,0.00356928491562547,0.450094133635272,0.0040853016429369
DHAD1,23dhmb_c  -> 3mob_c + h2o_c ,0.249381322070869,0.0102954363500225,0.0102456911826216,0.0102954383378514,0.943199151700696,0.00358464429687729,0.00358464429701886,0.00459417728141813,0.00976706949617689,0.010231921514806,0.00388687686790578,0.00626794494654161,0.00626746738364955,0.360088178524572,0.00795381286909204,0.00356928432359524,0.00856909978124037,0.483203670289392,0.00356928491562547,0.450094133635272,0.0040853016429369
KARA1,23dhmb_c + nadp_c  <=> h_c + alac__S_c + nadph_c ,0.249381322070867,-0.0102954363500219,-0.0102456911826189,-0.010295438337851,-0.94319915170069,-0.00358464429687729,-0.00358464429701774,-0.00459417728141785,-0.00976706949617673,-0.010231921514806,-0.00388687686790573,-0.00626794494654136,-0.00626746738364905,-0.360088178524572,-0.00795381286909191,-0.00356928432359524,-0.00856909978124028,-0.483203670289392,-0.00356928491562209,-0.45009413363525,-0.0040853016429294
ACALD,nad_c + coa_c + acald_c  <=> h_c + accoa_c + nadh_c ,0.248935810470419,-0.639086826682183,1.94404810377292e-10,7.08484452854535e-11,6.3703548183009e-10,2.71964676141506e-29,7.26765904572756e-11,1.13875261910888e-11,2.35566872065891e-11,5.78514046936429e-30,5.02087302854309e-12,-0.939837310553984,8.84074170888391e-12,5.48646322621412e-11,-0.238378566168893,1.50518352251522e-29,3.7314414060381e-11,6.99725258530282e-12,-0.0425169530656508,1.06648348087997e-10,1.61978915424082e-11
EX_pyr_e,pyr_e  -> ,0.205819687405167,0,0,0,0,0,0,0.920453624291422,0,0,0,0,0,0,0,0,0,0,0,0,0
PYRt2rpp,pyr_p + h_p  <=> h_c + pyr_c ,0.205819687405167,-0,-0,-0,-0,-0,-0,-0.920453624291421,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
PYRtex,pyr_e  <=> pyr_p ,0.205819687405167,-0,-0,-0,-0,-0,-0,-0.920453624291421,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
SUCOAS,atp_c + succ_c + coa_c  <=> adp_c + pi_c + succoa_c ,0.204180194318038,0.00412071274397237,0.416597575909451,0.00412074517938862,0.00264428334482359,0.397720929211104,0.331208918066725,0.00183933563106845,0.00390932609917905,0.00409540391605569,0.54816519359345,0.00250870959020117,0.333549156662224,0.0018969641433287,0.00318356886030827,0.390634839996735,0.00342982568894277,0.00176952925362432,0.390635114139394,0.29865608889115,0.42400363724103
HADPCOADH3,nad_c + 3hadpcoa_c  <=> h_c + oxadpcoa_c + nadh_c ,0.183338380344928,2.84953233030609e-16,1.35308095997008e-15,1.71901797268668e-16,3.15032044948611e-15,3.6002928820202e-168,5.58758602001139e-16,1.38247472017374e-16,8.39791152549562e-17,2.12919542579124e-168,-0.81991416267194,1.23769002212833e-16,2.49551738077385e-16,7.46869144581697e-17,6.03046548219355e-17,-1.0160624321309e-168,4.27004352186359e-17,2.66893862161525e-18,1.69271071284468e-15,1.11249128090116e-14,3.74799084974044e-15
DHACOAH,h2o_c + 23dhacoa_c  <=> 3hadpcoa_c ,0.183338380344928,2.84953233030609e-16,1.35308095997008e-15,1.71901797268703e-16,3.15032044948611e-15,3.60029288202024e-168,5.58758602001139e-16,1.38247472017376e-16,8.39791152549562e-17,2.12919542579129e-168,-0.81991416267194,1.23769002212833e-16,2.49551738077385e-16,7.46869144581697e-17,6.03046548219355e-17,-1.01606243213087e-168,4.27004352186359e-17,2.66893862161525e-18,1.69271071284468e-15,1.11249128090116e-14,3.74799084974044e-15
3OXCOAT,oxadpcoa_c + coa_c  -> accoa_c + succoa_c ,0.183338380344928,2.84953233030609e-16,1.35308095997008e-15,1.71901797268668e-16,3.15032044948611e-15,3.6002928820202e-168,5.58758602001139e-16,1.38247472017374e-16,8.39791152549562e-17,2.12919542579124e-168,-0.81991416267194,1.23769002212833e-16,2.49551738077385e-16,7.46869144581697e-17,6.03046548219355e-17,-1.0160624321309e-168,4.27004352186359e-17,2.66893862161525e-18,1.69271071284468e-15,1.11249128090116e-14,3.74799084974044e-15
NADH17pp,4 h_c + mqn8_c + nadh_c  -> 3 h_p + nad_c + mql8_c ,0.17127608525308,0.00416764266288417,0.307417701818825,0.00416654067631636,0.00265864565472856,0.296530690662259,0.246646681791843,0.492474958338461,0.00395556842344795,0.00414925689799685,0.409215497287928,0.00253808196631015,0.241918409200242,0.388597826872362,0.00322073356626209,0.291223665266407,0.00346752084345136,0.00178838159210577,0.291223870563302,0.221399621866548,0.315996906237854
NADH18pp,4 h_c + 2dmmq8_c + nadh_c  -> 3 h_p + nad_c + 2dmmql8_c ,0.171269535035157,0.00418238428945981,0.30741770360938,0.00418348790846401,0.00269903374506909,0.296530690662402,0.246646683962471,0.492474958477634,0.00396593110459085,0.00414925697361913,0.40921549737393,0.0025454820406257,0.241918409630827,0.38859782745385,0.00323013943801194,0.291223665266803,0.0034823754145936,0.00179721384267127,0.291223871034846,0.221399629402928,0.315996907459034
FRD3,fum_c + 2dmmql8_c  -> 2dmmq8_c + succ_c ,0.171269535012845,0.00418238435385764,0.307417703725677,0.00418348795055493,0.00269903419541881,0.296530690662402,0.246646684009205,0.492474958485973,0.00396593111979358,0.00414925697361913,0.409215497377268,0.00254548205394167,0.241918409637269,0.388597827492211,0.00323013944757241,0.291223665266803,0.00348237543746578,0.00179721384750636,0.291223871037495,0.22139962947438,0.315996907470225
FRD2,fum_c + mql8_c  -> succ_c + mqn8_c ,0.171262966685952,0.00419714161698835,0.307417705524551,0.00420045083602709,0.00273969596268615,0.296530690662259,0.246646686182789,0.492474958625273,0.00397629984560406,0.00414925689799685,0.409215497463398,0.0025528907833336,0.241918410071148,0.388597828073854,0.00323955229093995,0.291223665266407,0.00349724321635188,0.00180605202567049,0.291223871517009,0.221399637082577,0.315996908705533
